rank,prev_weight,prev_decay,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,delta_vs_v14_prev04_decay100,rank_within_prev_weight
24,0.6,0.995,2000,2.2263499999999996,4.752,8,4.804500000000002,3.1954999999999982,2,6.752,4.752,3,6.2,3.2,14,10.33,3.67,6,8.607999999999999,2.6079999999999988,16,12.5565,3.4435000000000002,15,17.5435,2.5435000000000016,0.019199999999999662,5
25,0.55,0.985,2000,2.22845,4.579500000000003,8,4.953500000000001,3.046499999999999,2,6.490999999999998,4.490999999999998,3,5.9505,2.9505,14,10.254500000000002,3.745499999999998,6,8.8655,2.865500000000001,16,12.490499999999999,3.509500000000001,15,17.643500000000003,2.643500000000003,0.021300000000000097,5
26,0.35,0.98,2000,2.2285499999999994,4.949000000000002,8,4.6025,3.3975,2,5.887,3.8869999999999996,3,5.2295,2.2295,14,10.165000000000001,3.834999999999999,6,9.591000000000001,3.591000000000001,16,11.976500000000003,4.023499999999997,15,17.8735,2.8735,0.02139999999999942,4
27,0.45,0.995,2000,2.2308000000000003,4.842499999999999,8,4.742500000000001,3.2574999999999994,2,6.279000000000001,4.279000000000001,3,5.6610000000000005,2.6610000000000005,14,10.454,3.5459999999999994,6,9.048499999999997,3.048499999999997,16,12.2555,3.7445000000000004,15,17.7795,2.7794999999999987,0.023650000000000393,3
28,0.5,0.995,2000,2.2318499999999992,4.746499999999999,8,4.866500000000001,3.133499999999999,2,6.431000000000001,4.431000000000001,3,5.710500000000001,2.7105000000000006,14,10.306000000000003,3.6939999999999973,6,9.058000000000002,3.0580000000000016,16,12.293500000000002,3.7064999999999984,15,17.808999999999997,2.8089999999999975,0.024699999999999278,4
29,0.5,1.0,2000,2.2327,4.7395,8,4.799999999999998,3.200000000000002,2,6.4079999999999995,4.4079999999999995,3,5.778500000000002,2.778500000000002,14,10.3385,3.6615,6,9.075499999999998,3.075499999999998,16,12.3735,3.6265,15,17.8315,2.8314999999999984,0.02554999999999996,5
30,0.35,0.985,2000,2.23705,5.0565,8,4.688,3.3120000000000003,2,5.7915,3.7915,3,5.1905,2.1905,14,10.3845,3.615500000000001,6,9.595999999999998,3.5959999999999983,16,11.792500000000002,4.207499999999998,15,17.975,2.9750000000000014,0.029900000000000038,5
31,0.45,1.0,2000,2.23855,4.7315000000000005,8,4.7044999999999995,3.2955000000000005,2,6.138499999999999,4.138499999999999,3,5.685499999999999,2.6854999999999993,14,10.373499999999998,3.626500000000002,6,9.137999999999996,3.1379999999999963,16,12.097000000000001,3.9029999999999987,15,17.887999999999998,2.887999999999998,0.031400000000000095,4
32,0.3,0.995,2000,2.245,4.962500000000002,8,4.628499999999999,3.371500000000001,2,5.7405,3.7405,3,5.015,2.0149999999999997,14,10.227500000000001,3.772499999999999,6,9.6385,3.6385000000000005,16,11.7055,4.294499999999999,15,18.1315,3.131499999999999,0.03785000000000016,3
33,0.3,0.98,2000,2.247,5.005000000000003,8,4.586500000000001,3.413499999999999,2,5.712,3.7119999999999997,3,5.010000000000001,2.0100000000000007,14,10.2955,3.7044999999999995,6,9.6895,3.6895000000000007,16,11.833000000000002,4.166999999999998,15,18.0375,3.0375000000000014,0.03984999999999994,4
34,0.3,1.0,2000,2.2497999999999996,5.0440000000000005,8,4.661499999999999,3.3385000000000007,2,5.745500000000001,3.7455000000000007,3,4.991499999999999,1.9914999999999994,14,10.2035,3.7965,6,9.743,3.7430000000000003,16,11.746500000000001,4.253499999999999,15,18.060000000000002,3.0600000000000023,0.04264999999999963,5
35,0.45,0.99,2000,2.256900000000001,4.8965,8,4.636000000000001,3.363999999999999,2,6.2325,4.2325,3,5.625000000000001,2.625000000000001,14,10.259500000000001,3.740499999999999,6,9.229000000000001,3.229000000000001,16,12.158500000000002,3.841499999999998,15,17.846,2.846,0.04975000000000085,5
