rank,prev_setting_name,prev_weight,prev_decay,elo_mode,elo_lambda_weight,elo_update_every,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_prev060_decay0985_elo010_fixed,delta_vs_prev060_decay0985_elo020_fixed,rank_within_prev_setting,rank_within_update_every
32,prev040_decay0995,0.4,0.995,lambda_dynamic,0.1,3,2000,2.2125999999999997,4.9,8,4.767499999999999,3.232500000000001,2,6.002499999999999,4.002499999999999,3,5.403000000000001,2.4030000000000014,14,10.325,3.6750000000000007,6,9.348999999999997,3.3489999999999966,16,12.153,3.8469999999999995,15,17.899499999999996,2.899499999999996,11,15.9,4.9,0.03989999999999938,0.03054999999999941,11,3
33,prev040_decay0995,0.4,0.995,lambda_dynamic,0.1,5,2000,2.2128500000000004,4.901999999999999,8,4.767499999999999,3.232500000000001,2,6.015499999999999,4.015499999999999,3,5.397500000000001,2.397500000000001,14,10.315999999999999,3.684000000000001,6,9.343499999999997,3.343499999999997,16,12.147000000000002,3.852999999999998,15,17.906,2.905999999999999,11,15.902,4.901999999999999,0.04015000000000013,0.03080000000000016,12,3
34,prev040_decay0995,0.4,0.995,lambda_dynamic,0.15,0,2000,2.21315,4.792,8,4.763,3.237,2,5.972999999999999,3.972999999999999,3,5.3735,2.3735,14,10.357,3.6430000000000007,6,9.3925,3.3925,16,12.075499999999998,3.924500000000002,15,17.929499999999997,2.9294999999999973,11,15.792,4.792,0.040449999999999875,0.031099999999999905,13,4
35,prev040_decay0995,0.4,0.995,lambda_dynamic,0.2,1,2000,2.2140999999999997,4.730500000000001,8,4.7815,3.2184999999999997,2,5.9575,3.9574999999999996,3,5.43,2.4299999999999997,14,10.299,3.7010000000000005,6,9.437,3.4369999999999994,16,12.082000000000003,3.9179999999999975,15,17.988,2.9879999999999995,11,15.730500000000001,4.730500000000001,0.04139999999999944,0.03204999999999947,14,4
36,prev040_decay0995,0.4,0.995,lambda_dynamic,0.2,3,2000,2.2182500000000003,4.7265000000000015,8,4.7715000000000005,3.2284999999999995,2,5.9615,3.9615,3,5.4345,2.4345,14,10.299000000000001,3.7009999999999987,6,9.4295,3.429500000000001,16,12.084,3.9160000000000004,15,17.991,2.9909999999999997,11,15.726500000000001,4.7265000000000015,0.04554999999999998,0.03620000000000001,15,4
37,prev040_decay0995,0.4,0.995,lambda_dynamic,0.05,5,2000,2.2188500000000007,4.831499999999998,8,4.783999999999999,3.216000000000001,2,5.9935,3.9935,3,5.376000000000001,2.3760000000000012,14,10.486999999999998,3.5130000000000017,6,9.336,3.3360000000000003,16,12.064499999999999,3.935500000000001,15,17.799999999999997,2.799999999999997,11,15.831499999999998,4.831499999999998,0.04615000000000036,0.03680000000000039,16,4
38,prev040_decay0995,0.4,0.995,lambda_dynamic,0.2,5,2000,2.2189,4.736000000000001,8,4.7745,3.2255000000000003,2,5.976499999999999,3.976499999999999,3,5.4254999999999995,2.4254999999999995,14,10.2995,3.7005,6,9.436999999999998,3.4369999999999976,16,12.0745,3.9254999999999995,15,17.995,2.995000000000001,11,15.736,4.736000000000001,0.0461999999999998,0.03684999999999983,17,5
39,prev040_decay0995,0.4,0.995,lambda_dynamic,0.05,1,2000,2.21985,4.829000000000001,8,4.7905,3.2095000000000002,2,5.993499999999999,3.993499999999999,3,5.379500000000002,2.379500000000002,14,10.487499999999999,3.512500000000001,6,9.3335,3.333500000000001,16,12.066999999999998,3.9330000000000016,15,17.801000000000002,2.801000000000002,11,15.829,4.829000000000001,0.0471499999999998,0.037799999999999834,18,5
40,prev040_decay0995,0.4,0.995,lambda_dynamic,0.05,3,2000,2.2201500000000003,4.826999999999998,8,4.787999999999999,3.2120000000000006,2,5.9975,3.9974999999999996,3,5.376000000000001,2.3760000000000012,14,10.4855,3.5145,6,9.337,3.3369999999999997,16,12.065499999999998,3.9345000000000017,15,17.8015,2.8015000000000008,11,15.826999999999998,4.826999999999998,0.04744999999999999,0.03810000000000002,19,5
41,prev040_decay0995,0.4,0.995,lambda_dynamic,0.0,0,2000,2.2261499999999996,4.840999999999999,8,4.721500000000001,3.2784999999999993,2,6.082999999999999,4.082999999999999,3,5.433999999999999,2.4339999999999993,14,10.243499999999997,3.7565000000000026,6,9.471,3.471,16,12.0655,3.9345,15,17.868000000000002,2.868000000000002,11,15.841,4.840999999999999,0.05344999999999933,0.04409999999999936,20,5
42,prev040_decay0995,0.4,0.995,lambda_dynamic,0.25,0,2000,2.2353500000000004,4.877000000000001,8,4.667999999999999,3.3320000000000007,2,6.1135,4.1135,3,5.339,2.3390000000000004,14,10.331000000000001,3.6689999999999987,6,9.3245,3.3245000000000005,16,11.902000000000001,4.097999999999999,15,17.927500000000002,2.927500000000002,11,15.877,4.877000000000001,0.0626500000000001,0.053300000000000125,21,6
