team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
京都サンガF.C.,"浦和レッズ 0 (4) Result (5) 0 鹿島アントラーズ 観客:45,794 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Referee: ベルナール ソール 1996.11.02 湘南ベルマーレ",1,1,0,0,1,0,0,1,1.0,0.0,0.0,3,3.0
京都サンガF.C.,"清水エスパルス 0 (4) Result (2) 0 東京ヴェルディ 観客:14,070 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S R Y Y Y Y Y Referee: 小幡 真一郎 1998.11.03 セレッソ大阪",1,1,0,0,2,1,0,1,1.0,0.0,0.0,3,3.0
"京都サンガF.C. 1 (3) Result (4) 1 浦和レッズ 観客:6,149 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 上川 徹 1997.07.16 浦和レッズ",ジェフユナイテッド千葉,1,1,0,0,3,0,1,3,1.0,0.0,0.0,3,3.0
"京都サンガF.C. 1 (6) Result (7) 1 セレッソ大阪 観客:4,781 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: 辺見 康裕 1997.09.03 柏レイソル",横浜フリューゲルス,1,0,0,1,0,2,1,-2,0.0,0.0,1.0,0,0.0
"京都サンガF.C. 2 (5) Result (3) 2 柏レイソル 観客:4,052 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y R Y Y Referee: 松村 和彦 1998.10.14 ガンバ大阪",鹿島アントラーズ,1,0,0,1,1,3,1,-2,0.0,0.0,1.0,0,0.0
北海道コンサドーレ札幌,ガンバ大阪,26,9,6,11,29,38,13,-9,0.34615384615384615,0.23076923076923078,0.4230769230769231,33,1.2692307692307692
北海道コンサドーレ札幌,ヴィッセル神戸,26,6,5,15,36,56,13,-20,0.23076923076923078,0.19230769230769232,0.5769230769230769,23,0.8846153846153846
北海道コンサドーレ札幌,横浜Ｆ・マリノス,26,4,3,19,27,52,13,-25,0.15384615384615385,0.11538461538461539,0.7307692307692307,15,0.5769230769230769
北海道コンサドーレ札幌,浦和レッズ,25,7,6,12,33,39,13,-6,0.28,0.24,0.48,27,1.08
北海道コンサドーレ札幌,鹿島アントラーズ,25,2,5,18,16,57,13,-41,0.08,0.2,0.72,11,0.44
北海道コンサドーレ札幌,名古屋グランパス,24,9,4,11,32,36,12,-4,0.375,0.16666666666666666,0.4583333333333333,31,1.2916666666666667
北海道コンサドーレ札幌,サンフレッチェ広島,24,6,7,11,30,44,12,-14,0.25,0.2916666666666667,0.4583333333333333,25,1.0416666666666667
北海道コンサドーレ札幌,ＦＣ東京,24,6,4,14,27,44,12,-17,0.25,0.16666666666666666,0.5833333333333334,22,0.9166666666666666
北海道コンサドーレ札幌,柏レイソル,22,8,1,13,32,44,12,-12,0.36363636363636365,0.045454545454545456,0.5909090909090909,25,1.1363636363636365
北海道コンサドーレ札幌,清水エスパルス,21,8,3,10,44,43,10,1,0.38095238095238093,0.14285714285714285,0.47619047619047616,27,1.2857142857142858
北海道コンサドーレ札幌,ジュビロ磐田,20,8,3,9,24,36,10,-12,0.4,0.15,0.45,27,1.35
北海道コンサドーレ札幌,セレッソ大阪,20,6,6,8,24,35,10,-11,0.3,0.3,0.4,24,1.2
北海道コンサドーレ札幌,川崎フロンターレ,20,3,3,14,24,51,10,-27,0.15,0.15,0.7,12,0.6
北海道コンサドーレ札幌,サガン鳥栖,17,7,3,7,25,28,8,-3,0.4117647058823529,0.17647058823529413,0.4117647058823529,24,1.411764705882353
北海道コンサドーレ札幌,湘南ベルマーレ,14,6,6,2,25,16,7,9,0.42857142857142855,0.42857142857142855,0.14285714285714285,24,1.7142857142857142
北海道コンサドーレ札幌,ベガルタ仙台,14,4,4,6,17,23,7,-6,0.2857142857142857,0.2857142857142857,0.42857142857142855,16,1.1428571428571428
北海道コンサドーレ札幌,京都サンガF.C.,12,4,0,8,12,18,6,-6,0.3333333333333333,0.0,0.6666666666666666,12,1.0
北海道コンサドーレ札幌,アビスパ福岡,12,2,5,5,14,16,6,-2,0.16666666666666666,0.4166666666666667,0.4166666666666667,11,0.9166666666666666
北海道コンサドーレ札幌,東京ヴェルディ,10,3,1,6,14,20,5,-6,0.3,0.1,0.6,10,1.0
北海道コンサドーレ札幌,アルビレックス新潟,10,0,3,7,7,16,5,-9,0.0,0.3,0.7,3,0.3
北海道コンサドーレ札幌,ジェフユナイテッド千葉,8,4,0,4,14,13,4,1,0.5,0.0,0.5,12,1.5
北海道コンサドーレ札幌,大分トリニータ,8,1,4,3,9,10,4,-1,0.125,0.5,0.375,7,0.875
北海道コンサドーレ札幌,大宮アルディージャ,6,2,1,3,7,12,3,-5,0.3333333333333333,0.16666666666666666,0.5,7,1.1666666666666667
北海道コンサドーレ札幌,横浜ＦＣ,5,5,0,0,15,3,3,12,1.0,0.0,0.0,15,3.0
北海道コンサドーレ札幌,徳島ヴォルティス,2,2,0,0,3,1,1,2,1.0,0.0,0.0,6,3.0
北海道コンサドーレ札幌,Ｖ・ファーレン長崎,2,2,0,0,5,3,1,2,1.0,0.0,0.0,6,3.0
北海道コンサドーレ札幌,松本山雅ＦＣ,2,0,2,0,1,1,1,0,0.0,1.0,0.0,2,1.0
北海道コンサドーレ札幌,ヴァンフォーレ甲府,2,0,1,1,1,3,1,-2,0.0,0.5,0.5,1,0.5
北海道コンサドーレ札幌,ＦＣ町田ゼルビア,2,0,1,1,1,2,1,-1,0.0,0.5,0.5,1,0.5
北海道コンサドーレ札幌,"ヴィッセル神戸 5 (5) Result (3) 5 ジェフユナイテッド千葉 観客:2,091 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 片山 義継 1998.10.14 浦和レッズ",1,0,0,1,1,2,0,-1,0.0,0.0,1.0,0,0.0
北海道コンサドーレ札幌,横浜フリューゲルス,1,0,0,1,1,4,1,-3,0.0,0.0,1.0,0,0.0
"北海道コンサドーレ札幌 3 (4) Result (5) 3 湘南ベルマーレ 観客:11,518 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 越山 賢一 1998.04.25 ガンバ大阪",京都サンガF.C.,1,0,0,1,0,1,1,-1,0.0,0.0,1.0,0,0.0
