year,date,home,away,home_goal,away_goal,home_raw,away_raw,source_url
1993,1993-08-14,鹿島アントラーズ,横浜フリューゲルス,1,2,鹿島アントラーズ,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-19,東京ヴェルディ,名古屋グランパス,3,1,東京ヴェルディ,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-20,ガンバ大阪,ジェフユナイテッド千葉,2,0,ガンバ大阪,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-20,横浜Ｆ・マリノス,サンフレッチェ広島,1,2,横浜Ｆ・マリノス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-20,浦和レッズ,横浜フリューゲルス,0,1,浦和レッズ,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-20,鹿島アントラーズ,清水エスパルス,0,1,鹿島アントラーズ,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-25,"ジェフユナイテッド千葉 2 (2) Result (4) 2 横浜Ｆ・マリノス 観客:17,226 S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 十河 正博 1993.08.25 名古屋グランパス",ガンバ大阪,0,2,"ジェフユナイテッド千葉 2 (2) Result (4) 2 横浜Ｆ・マリノス 観客:17,226 S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: 十河 正博 1993.08.25 名古屋グランパス",ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-25,横浜フリューゲルス,東京ヴェルディ,0,1,横浜フリューゲルス,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-25,清水エスパルス,浦和レッズ,3,0,清水エスパルス,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-25,鹿島アントラーズ,サンフレッチェ広島,4,3,鹿島アントラーズ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-28,"ガンバ大阪 0 (4) Result (5) 0 横浜フリューゲルス 観客:21,330 S S S S S S S S S S S S S S S S S S S Y Y Referee: 森津 陽太郎 1993.08.28 鹿島アントラーズ",浦和レッズ,2,0,"ガンバ大阪 0 (4) Result (5) 0 横浜フリューゲルス 観客:21,330 S S S S S S S S S S S S S S S S S S S Y Y Referee: 森津 陽太郎 1993.08.28 鹿島アントラーズ",浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-28,"東京ヴェルディ 0 (2) Result (3) 0 清水エスパルス 観客:28,625 S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 菊池 光悦 1993.08.28 ジェフユナイテッド千葉",サンフレッチェ広島,1,3,"東京ヴェルディ 0 (2) Result (3) 0 清水エスパルス 観客:28,625 S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 菊池 光悦 1993.08.28 ジェフユナイテッド千葉",サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-08-28,横浜Ｆ・マリノス,名古屋グランパス,2,0,横浜Ｆ・マリノス,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-09-03,ジェフユナイテッド千葉,鹿島アントラーズ,1,2,ジェフユナイテッド千葉,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-09-03,名古屋グランパス,サンフレッチェ広島,1,0,名古屋グランパス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-09-03,横浜フリューゲルス,横浜Ｆ・マリノス,3,2,横浜フリューゲルス,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-09-03,浦和レッズ,東京ヴェルディ,0,6,浦和レッズ,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-09-03,清水エスパルス,ガンバ大阪,3,2,清水エスパルス,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-06,ガンバ大阪,東京ヴェルディ,0,4,ガンバ大阪,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-06,"サンフレッチェ広島 0 (4) Result (5) 0 清水エスパルス 観客:10,199 S S S S S S S S S S Y Y Y Y Referee: 菊地 秀夫 1993.11.06 横浜Ｆ・マリノス",浦和レッズ,3,2,"サンフレッチェ広島 0 (4) Result (5) 0 清水エスパルス 観客:10,199 S S S S S S S S S S Y Y Y Y Referee: 菊地 秀夫 1993.11.06 横浜Ｆ・マリノス",浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-06,ジェフユナイテッド千葉,横浜フリューゲルス,1,2,ジェフユナイテッド千葉,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-06,名古屋グランパス,鹿島アントラーズ,2,1,名古屋グランパス,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-10,東京ヴェルディ,横浜Ｆ・マリノス,1,0,東京ヴェルディ,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-10,横浜フリューゲルス,名古屋グランパス,1,0,横浜フリューゲルス,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-10,浦和レッズ,サンフレッチェ広島,1,2,浦和レッズ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-10,"清水エスパルス 1 (3) Result (4) 1 ジェフユナイテッド千葉 観客:17,540 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 小川 佳実 1993.11.10 鹿島アントラーズ",ガンバ大阪,3,4,"清水エスパルス 1 (3) Result (4) 1 ジェフユナイテッド千葉 観客:17,540 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 小川 佳実 1993.11.10 鹿島アントラーズ",ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-13,ガンバ大阪,サンフレッチェ広島,3,6,ガンバ大阪,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-13,ジェフユナイテッド千葉,東京ヴェルディ,1,4,ジェフユナイテッド千葉,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-13,浦和レッズ,名古屋グランパス,0,5,浦和レッズ,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-13,清水エスパルス,横浜フリューゲルス,3,1,清水エスパルス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-13,鹿島アントラーズ,横浜Ｆ・マリノス,3,2,鹿島アントラーズ,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-17,サンフレッチェ広島,東京ヴェルディ,1,3,サンフレッチェ広島,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-17,ジェフユナイテッド千葉,浦和レッズ,2,3,ジェフユナイテッド千葉,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-11-17,横浜フリューゲルス,鹿島アントラーズ,2,3,横浜フリューゲルス,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
