year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2025,10,0.1,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.03761,0.10231000000000001,0.2937955223880597,0.24253731343283583,2.1154675373134326,2.4888059701492535,1.1907509972867476,0.9227412970649602,2.113492294351708,1.0001160196179033,54.666656716417904
2023,10,0.15,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3360333333333332,0.21248888888888887,0.2396375,0.255,2.663082,2.46,1.3601541240273542,1.3033401793709312,2.663494303398286,1.0008849161587663,83.10734499999998
2024,10,0.15,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.63407,0.119695,0.27072988929889297,0.25461254612546125,2.349228413284133,2.7601476014760147,1.219062904581299,1.1288648929761407,2.34792779755744,1.0002972536726744,68.28860147601475
2025,10,0.15,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.0491899999999994,0.10159,0.2931313432835821,0.24253731343283583,2.119206343283582,2.4888059701492535,1.1922711565479105,0.9247370625510477,2.117008219098958,1.000276252671527,54.666656716417904
2023,10,0.2,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3433333333333333,0.2144611111111111,0.2376415,0.255,2.6711925,2.46,1.3636195635923716,1.3087642046509143,2.6723837682432863,1.0014994311968963,83.10734499999998
2024,10,0.2,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.636169999999999,0.12199,0.26904649446494466,0.25461254612546125,2.352739114391144,2.7601476014760147,1.221961686967478,1.1322803718918635,2.354242058859341,1.000604403093409,68.28860147601475
2025,10,0.2,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.0265299999999997,0.103935,0.2923037313432836,0.24253731343283583,2.1183608208955222,2.4888059701492535,1.1938481490564665,0.9268025734863284,2.1206507225427953,1.0005046123483803,54.666656716417904
2023,10,0.3,18,306,106,200,0.3464052287581699,2023-05-10,all_teams_at_least,10,12,11.777777777777779,1.349056603773585,1.3018867924528301,12424,1.3626666666666667,0.21494444444444447,0.2343855,0.255,2.6908355,2.46,1.371167726974663,1.319958162316612,2.691125889291275,1.0032089710768861,83.10734499999998
2024,10,0.3,20,380,109,271,0.2868421052631579,2024-05-03,all_teams_at_least,10,11,10.9,1.2660550458715596,1.1376146788990826,13513,2.63891,0.125095,0.2664188191881919,0.25461254612546125,2.368047970479705,2.7601476014760147,1.2276645225325384,1.1394794140189377,2.3671439365514764,1.0015308874635438,68.28860147601475
2025,10,0.3,20,380,112,268,0.29473684210526313,2025-04-20,all_teams_at_least,10,12,11.2,1.2232142857142858,0.9464285714285714,14083,3.0095400000000003,0.105745,0.29062649253731343,0.24253731343283583,2.1271365671641793,2.4888059701492535,1.1972486372212205,0.9311444969156402,2.1283931341368607,1.0011657126433897,54.666656716417904
2023,15,0.0,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.7336555555555557,0.18825555555555556,0.2490048780487805,0.2682926829268293,2.6131231707317073,2.3841463414634148,1.3786065447838853,1.2329918620607172,2.6115984068446028,1.0,90.65633536585361
2024,15,0.0,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.6902,0.09192,0.25422558139534884,0.2651162790697674,2.5526013953488373,2.6744186046511627,1.335727479852679,1.2167411921071425,2.5524686719598217,1.0,72.30065581395348
2025,15,0.0,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.1577599999999997,0.15233,0.2921803738317757,0.26635514018691586,2.1193331775700934,2.55607476635514,1.1651804630644913,0.9533522410741168,2.118532704138608,1.0,61.89919626168224
2023,15,0.05,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.7241666666666668,0.19217222222222224,0.24673353658536584,0.2682926829268293,2.620743292682927,2.3841463414634148,1.3841233688304801,1.237936581056233,2.6220599498867134,1.000575853353412,90.65633536585361
2024,15,0.05,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.6855099999999994,0.09271,0.25334837209302324,0.2651162790697674,2.5599902325581394,2.6744186046511627,1.3399019390603428,1.219556058995231,2.5594579980555743,1.000284926985254,72.30065581395348
2025,15,0.05,20,380,166,214,0.4368421052631579,2025-05-18,all_teams_at_least,15,18,16.6,1.2108433734939759,0.9759036144578314,14083,2.1530799999999997,0.15451499999999999,0.2908799065420561,0.26635514018691586,2.124039719626168,2.55607476635514,1.167160999629471,0.955824342831545,2.1229853424610163,0.9997200372344863,61.89919626168224
2023,15,0.1,18,306,142,164,0.46405228758169936,2023-06-04,all_teams_at_least,15,16,15.777777777777779,1.3943661971830985,1.2887323943661972,12424,1.7255111111111112,0.18955555555555556,0.24408841463414635,0.2682926829268293,2.6341768292682928,2.3841463414634148,1.3893377362926438,1.2431254088713883,2.632463145164032,1.0013382618212137,90.65633536585361
2024,15,0.1,20,380,165,215,0.4342105263157895,2024-06-01,all_teams_at_least,15,17,16.5,1.3515151515151516,1.2666666666666666,13513,2.6895999999999995,0.09246000000000001,0.25204232558139533,0.2651162790697674,2.568068837209302,2.6744186046511627,1.3442457781483088,1.2225270202779706,2.5667727984262787,1.000689724164296,72.30065581395348
