match_id,year,date,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_216,2024,2024-07-06,0.3,柏レイソル,ＦＣ東京,3,2,1493.159,1577.004,-83.8449999999998,0.939052632212666,0.9328219747281119,1.458524742773229,0.8759689307542505,1.5531874282025535
J1_2024_217,2024,2024-07-06,0.3,浦和レッズ,湘南ベルマーレ,2,3,1598.541,1479.715,118.82600000000002,1.0932112872698045,2.146132632786867,1.0293771303019392,2.3461764181406655,0.9416085822464518
J1_2024_218,2024,2024-07-06,0.3,鹿島アントラーズ,北海道コンサドーレ札幌,2,0,1652.977,1436.565,216.41200000000003,1.1762236382775062,2.764990572039325,0.7292598589700806,3.2522472704470977,0.6200010229670512
J1_2024_219,2024,2024-07-06,0.3,ＦＣ町田ゼルビア,名古屋グランパス,1,0,1660.305,1568.795,91.50999999999999,1.0710425286847,1.3085927786572407,1.0739575201736662,1.401558518671589,1.0027216393475484
J1_2024_220,2024,2024-07-07,0.3,アビスパ福岡,京都サンガF.C.,1,2,1580.175,1461.401,118.77399999999989,1.0931686528609774,0.9072863013184542,0.7245571808979074,0.9918169437715134,0.6628045718303746
J1_2024_221,2024,2024-07-13,0.3,北海道コンサドーレ札幌,ヴィッセル神戸,1,1,1436.565,1673.505,-236.94000000000005,0.8371893579247357,0.5140456078052412,1.7582699693012287,0.4303535123425004,2.1002058287741625
J1_2024_222,2024,2024-07-13,0.3,ＦＣ東京,アルビレックス新潟,2,0,1577.004,1544.937,32.06700000000001,1.0243417897723157,1.4066758448626517,1.371437062875993,1.440916852556093,1.338847127559667
J1_2024_223,2024,2024-07-14,0.3,サガン鳥栖,ガンバ大阪,0,2,1510.494,1584.206,-73.71199999999999,0.9462163843377049,1.047810759298865,0.7835694394360744,0.9914557081339173,0.828108086486503
J1_2024_224,2024,2024-07-14,0.3,サンフレッチェ広島,アビスパ福岡,1,0,1658.003,1580.175,77.82799999999997,1.0601082229128318,1.2757140689364606,0.9321333644751022,1.352394974565129,0.8792813264988206
J1_2024_225,2024,2024-07-14,0.3,京都サンガF.C.,浦和レッズ,0,0,1461.401,1598.541,-137.13999999999987,0.9022577913767396,1.1398264067400536,2.191688123631864,1.028417256298166,2.4291152091771964
