match_id,year,date,cutoff_matches,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_238,2024,2024-07-20,17,0.15,鹿島アントラーズ,ＦＣ東京,2,1,1652.807,1567.879,84.92800000000011,1.03236057457135,1.8166708105680407,1.1608859066108048,1.8754593218050226,1.1244965520819314
J1_2024_239,2024,2024-07-20,17,0.15,ＦＣ町田ゼルビア,横浜Ｆ・マリノス,1,2,1664.329,1612.831,51.49800000000005,1.0194994280276564,2.3334698376008847,1.5528585523443983,2.37897116475389,1.5231578455601382
J1_2024_240,2024,2024-07-21,17,0.15,サガン鳥栖,サンフレッチェ広島,1,4,1495.049,1651.04,-155.99099999999999,0.9431814236315997,0.9395716743401727,1.5527669303918838,0.8861865494080899,1.6463077956022
J1_2024_241,2024,2024-08-07,17,0.15,アルビレックス新潟,ジュビロ磐田,2,2,1545.846,1544.156,1.6900000000000546,1.000633950861961,1.3685486163547207,1.6086101027612438,1.3694162089296944,1.6075909690807144
J1_2024_242,2024,2024-08-07,17,0.15,ガンバ大阪,ＦＣ東京,0,0,1572.047,1567.879,4.16800000000012,1.0015642221211423,1.5217327663341556,1.0594334510198558,1.5241130943897225,1.0577788499434977
J1_2024_243,2024,2024-08-07,17,0.15,セレッソ大阪,ＦＣ町田ゼルビア,0,0,1594.562,1664.329,-69.76700000000005,0.9741766512481701,0.7044694918439959,1.6113782343696388,0.686277730471084,1.654092440323888
J1_2024_244,2024,2024-08-07,17,0.15,京都サンガF.C.,名古屋グランパス,3,2,1476.846,1577.122,-100.27600000000007,0.9630947322573994,0.7500566753393662,2.157326566805528,0.722375632913842,2.239994150678165
J1_2024_245,2024,2024-08-07,17,0.15,川崎フロンターレ,ヴィッセル神戸,3,0,1574.174,1685.664,-111.49000000000001,0.9590531819552173,0.8305775345650989,1.318732974571846,0.7965680273851775,1.3750363372793897
J1_2024_246,2024,2024-08-07,17,0.15,東京ヴェルディ,サンフレッチェ広島,0,1,1575.957,1651.04,-75.08299999999986,0.9722365645178542,1.0815610817626975,1.5236575689196095,1.0515332304491791,1.5671675233436757
J1_2024_247,2024,2024-08-07,17,0.15,横浜Ｆ・マリノス,北海道コンサドーレ札幌,3,2,1612.831,1443.008,169.82299999999987,1.065755167127489,2.703024699124814,0.8119762390148517,2.880762539965497,0.7618787729674883
