event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0067,J1,2018,FC東京,no_change_control,no_change_control,,2018-09-02,2018-09-15,2018-09-15,2018-09-15,25,9,25,9,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,6,-3,25_plus,PSEUDO_2018_FC東京_25
PSEUDO_0068,J1,2018,名古屋,no_change_control,no_change_control,,2018-05-02,2018-05-05,2018-05-05,2018-05-05,12,22,12,22,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,3,11,-8,09_16,PSEUDO_2018_名古屋_12
PSEUDO_0069,J1,2018,名古屋,no_change_control,no_change_control,,2018-10-28,2018-11-03,2018-11-03,2018-11-03,29,5,29,5,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,11,-4,25_plus,PSEUDO_2018_名古屋_29
PSEUDO_0070,J1,2018,柏,no_change_control,no_change_control,,2018-07-22,2018-07-28,2018-07-28,2018-07-28,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,13,-6,17_24,PSEUDO_2018_柏_17
PSEUDO_0071,J1,2018,磐田,no_change_control,no_change_control,,2018-10-07,2018-10-21,2018-10-21,2018-10-21,28,6,28,6,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,5,15,-10,25_plus,PSEUDO_2018_磐田_28
PSEUDO_0072,J1,2018,長崎,no_change_control,no_change_control,,2018-03-31,2018-04-08,2018-04-08,2018-04-08,5,29,5,29,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,5,8,-3,00_08,PSEUDO_2018_長崎_05
PSEUDO_0073,J1,2018,長崎,no_change_control,no_change_control,,2018-05-19,2018-07-18,2018-07-18,2018-07-18,15,19,15,19,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,12,-5,09_16,PSEUDO_2018_長崎_15
PSEUDO_0074,J1,2019,G大阪,no_change_control,no_change_control,,2019-04-14,2019-04-20,2019-04-20,2019-04-20,7,27,7,27,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,11,-5,00_08,PSEUDO_2019_G大阪_07
PSEUDO_0075,J1,2019,名古屋,no_change_control,no_change_control,,2019-06-22,2019-06-30,2019-06-30,2019-06-30,16,18,16,18,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,8,-4,09_16,PSEUDO_2019_名古屋_16
PSEUDO_0076,J1,2019,大分,no_change_control,no_change_control,,2019-06-22,2019-06-30,2019-06-30,2019-06-30,16,18,16,18,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,8,-3,09_16,PSEUDO_2019_大分_16
