model_version,target_year,previous_year,match_index_in_test,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,home_win_prob,draw_prob,away_win_prob,home_expected_points,away_expected_points,home_actual_points,away_actual_points,home_points_residual,away_points_residual,home_goal_residual,away_goal_residual,score_grid_expected_home_goals,score_grid_expected_away_goals,home_elo,away_elo,home_matchup_effect,away_matchup_effect
v1.5,2023,2022,28,2023-07-15,横浜FM,川崎F,0,1,2.589688252843471,1.0199788946154968,0.6834043995244633,0.19458757150980804,0.12200802896572888,2.2448007700831982,0.5606116584069947,0,3,-2.2448007700831982,2.4393883415930055,-2.589688252843471,-0.019978894615496845,2.540769960789089,1.032519304957383,1654.9664878390527,1578.255514608496,0.0140174361578937,-0.0140174361578937
v1.5,2023,2022,29,2023-07-16,G大阪,柏,3,1,1.3015505681058697,0.9176090023044737,0.4243391603571065,0.33000000000000007,0.2456608396428935,1.6030174810713196,1.0669825189286806,3,0,1.3969825189286804,-1.0669825189286806,1.6984494318941303,0.08239099769552627,1.268130803843398,0.9094422728488152,1452.455192640851,1426.229179760879,-0.036089608554376526,0.036089608554376526
v1.5,2023,2022,30,2023-07-16,広島,横浜FC,1,1,2.273862761883304,0.44711308763147245,0.7622737767206667,0.1821317169570584,0.05559450632227518,2.468953047119058,0.34891523592388396,1,1,-1.468953047119058,0.651084764076116,-1.2738627618833038,0.5528869123685276,2.2175347323984744,0.456388528081535,1557.838679637829,1420.8505167370859,-0.01980452077049785,0.01980452077049785
v1.5,2023,2022,31,2023-07-16,C大阪,浦和,2,0,0.7381193092056642,0.739793284600962,0.33447444694776984,0.33,0.3355255530522302,1.3334233408433096,1.3365766591566905,3,0,1.6665766591566904,-1.3365766591566905,1.2618806907943358,-0.739793284600962,0.757654635996941,0.7594370121914072,1556.9340998880539,1557.3234991779466,0.03808354698896274,-0.03808354698896274
v1.5,2023,2022,32,2023-07-16,神戸,鳥栖,2,1,1.5169082486788898,0.6981825381322594,0.5297368372780367,0.3110290746180204,0.15923408810394293,1.9002395864521304,0.7887313389298491,3,0,1.0997604135478696,-0.7887313389298491,0.48309175132111015,0.3018174618677406,1.4616776328745904,0.7002478217441883,1581.3188621947713,1492.560956580837,0.03777931652030749,-0.03777931652030749
v1.5,2023,2022,33,2023-07-16,京都,名古屋,2,1,0.514202355267944,1.679619770073356,0.10239968982589498,0.2768125147760216,0.6207877953980833,0.5840115842537066,2.139175900970271,3,0,2.4159884157462934,-2.139175900970271,1.485797644732056,-0.6796197700733559,0.5208813733019986,1.6163955359251867,1435.0035369045336,1567.8706549714868,0.015482800876439821,-0.015482800876439821
v1.5,2023,2022,34,2023-07-16,湘南,福岡,0,1,1.6106665479444902,1.2916753489731854,0.41982030812532967,0.2930095626803919,0.2871701291942784,1.5524704870563808,1.1545199502632273,0,3,-1.5524704870563808,1.8454800497367727,-1.6106665479444902,-0.29167534897318537,1.5812463627990356,1.2828741907081525,1451.2254606675106,1446.4903029050529,-0.047266678596755624,0.047266678596755624
v1.5,2023,2022,35,2023-07-16,FC東京,鹿島,1,3,1.2077955813106787,1.4339267315496182,0.29547718845397825,0.31140947426623367,0.39311333727978814,1.1978410396281685,1.490749486105598,0,3,-1.1978410396281685,1.509250513894402,-0.20779558131067866,1.5660732684503818,1.1949604519504144,1.405239313005521,1474.3075807527803,1541.7221522140278,-0.004881487834034279,0.004881487834034279
v1.5,2023,2022,36,2023-07-22,神戸,川崎F,2,2,1.8952197382260736,0.9240463948562634,0.5675913073489277,0.26375344632546,0.16865524632561246,1.966527368372243,0.7697191853022973,1,1,-0.9665273683722431,0.23028081469770267,0.10478026177392641,1.0759536051437366,1.8465557359969687,0.9301451911764342,1581.3188621947713,1578.255514608496,0.021285850656862653,-0.021285850656862653
v1.5,2023,2022,37,2023-08-05,名古屋,新潟,1,0,1.4761382045285767,0.6648765320705041,0.5271313101018297,0.31737378974814745,0.15549490015002276,1.8987677200536364,0.7838584901982157,3,0,1.1012322799463636,-0.7838584901982157,-0.4761382045285767,-0.6648765320705041,1.419469963223123,0.6665550482122452,1567.8706549714868,1440.4461953650673,-0.01595306743672311,0.01595306743672311
v1.5,2023,2022,38,2023-08-05,湘南,広島,1,0,1.1808046245843926,1.8926403430390326,0.22251582319187213,0.2687408184295146,0.5087433583786134,0.936288288005131,1.7949708935653548,3,0,2.063711711994869,-1.7949708935653548,-0.18080462458439261,-1.8926403430390326,1.1824749770935177,1.8531835079808474,1451.2254606675106,1557.838679637829,0.010439977165156643,-0.010439977165156643
v1.5,2023,2022,39,2023-08-06,C大阪,FC東京,0,1,1.7402101235880463,0.7889041300454818,0.563974890913874,0.27960644387649003,0.1564186652096362,1.971531116618112,0.7488624395053987,0,3,-1.971531116618112,2.2511375604946013,-1.7402101235880463,0.21109586995451823,1.6876249092051712,0.7941385054557015,1556.9340998880539,1474.3075807527803,0.011035086256529112,-0.011035086256529112
v1.5,2023,2022,40,2023-08-06,川崎F,G大阪,3,4,2.0087690330168053,0.7209219320407101,0.6422009305158851,0.23994658010177605,0.11785248938233886,2.1665493716494315,0.5935040482487927,0,3,-2.1665493716494315,2.4064959517512072,0.9912309669831947,3.27907806795929,1.9536665598714125,0.7302693707174808,1578.255514608496,1452.455192640851,-0.024346134820268456,0.024346134820268456
v1.5,2023,2022,41,2023-08-06,京都,柏,0,1,0.7543361744170286,1.0383076049774687,0.2581820112634017,0.3300000000000001,0.41181798873659825,1.104546033790205,1.5654539662097948,0,3,-1.104546033790205,1.4345460337902052,-0.7543361744170286,-0.03830760497746866,0.7530028646266277,1.0347936509965583,1435.0035369045336,1426.229179760879,-0.01941794705537678,0.01941794705537678
v1.5,2023,2022,42,2023-08-06,鹿島,札幌,3,0,1.964715854644681,1.998968562727998,0.36890729050457916,0.24961485357865423,0.38147785591676675,1.3563367250923917,1.3940484213289546,3,0,1.6436632749076083,-1.3940484213289546,1.035284145355319,-1.998968562727998,1.9511950876379893,1.983638131964189,1541.7221522140278,1508.8331728929727,0.001338887312919288,-0.001338887312919288
v1.5,2023,2022,43,2023-08-06,横浜FC,神戸,2,0,0.6179407270824828,2.899546434958587,0.05114645450568708,0.13439401868425818,0.8144595268100548,0.28783338220131943,2.5777725991144225,3,0,2.7121666177986805,-2.5777725991144225,1.3820592729175172,-2.899546434958587,0.6287896969111073,2.851042868310253,1420.8505167370859,1581.3188621947713,-0.006643795934189717,0.006643795934189717
v1.5,2023,2022,44,2023-08-06,鳥栖,福岡,0,1,1.3442256235623338,0.8451107799003077,0.4508256297258023,0.3300000000000001,0.21917437027419762,1.6824768891774071,0.987523110822593,0,3,-1.6824768891774071,2.0124768891774067,-1.3442256235623338,0.1548892200996923,1.3042228239493157,0.8396109751929753,1492.560956580837,1446.4903029050529,-0.018783949694642664,0.018783949694642664
