summary_axis,timing_bucket,new_manager_type,n_events,mean_uplift,median_uplift,mean_raw_residual,uplift_rate,strong_uplift_rate,strong_downlift_rate,reason_category,pre_context_auto,uplift_rule_level
pre_context_auto × new_manager_type,,caretaker,7,-0.32814975362921067,-1.1304906154245158,0.10568050866459584,0.42857142857142855,0.42857142857142855,0.5714285714285714,,defense_collapse,
pre_context_auto × new_manager_type,,internal,10,-0.6117313292941853,-1.2547538966227818,-0.3538452748527711,0.3,0.3,0.5,,attack_stagnation,
pre_context_auto × new_manager_type,,caretaker,3,-1.330173318188528,-3.706750450954475,-1.045750067165983,0.3333333333333333,0.3333333333333333,0.6666666666666666,,mixed_or_unclear,
pre_context_auto × new_manager_type,,internal,3,-1.363508273378711,-0.4158371131522661,-1.1244550319200295,0.0,0.0,0.3333333333333333,,low_base_strength,
pre_context_auto × new_manager_type,,external,7,-1.6710194801638107,-2.0837524644392,-0.9179526067184154,0.2857142857142857,0.0,0.5714285714285714,,attack_stagnation,
pre_context_auto × new_manager_type,,returning,5,-1.9470253908834085,-0.7851460882062267,-1.2714845140396496,0.2,0.2,0.4,,defense_collapse,
pre_context_auto × new_manager_type,,returning,1,-2.6857751402896577,-2.6857751402896577,-2.2789380437192657,0.0,0.0,1.0,,poor_form_possible_regression,
pre_context_auto × new_manager_type,,caretaker,1,-4.0043076214741635,-4.0043076214741635,-3.713036278879746,0.0,0.0,1.0,,low_base_strength,
uplift_rule_level × new_manager_type,,returning,7,2.6065038124889193,0.6591154747025766,2.8005537060179146,0.7142857142857143,0.42857142857142855,0.14285714285714285,,,high
uplift_rule_level × new_manager_type,,caretaker,3,1.9647809505548632,1.7658456496938733,2.9872415360259104,0.6666666666666666,0.6666666666666666,0.3333333333333333,,,medium
uplift_rule_level × new_manager_type,,internal,10,1.395210637200799,0.8489798713707775,2.0675217283788885,0.6,0.3,0.1,,,low
uplift_rule_level × new_manager_type,,external,10,1.2644260399059637,1.1403572125396224,1.446809359547108,0.8,0.5,0.1,,,medium
uplift_rule_level × new_manager_type,,internal,17,0.443924891267203,-0.7439511458635053,0.7970694907866115,0.47058823529411764,0.47058823529411764,0.47058823529411764,,,medium
uplift_rule_level × new_manager_type,,caretaker,4,0.38699409105261184,0.9158729339107783,0.7360483106350164,0.5,0.5,0.5,,,low
uplift_rule_level × new_manager_type,,internal,17,0.14987245841427085,-0.4158371131522661,0.313040244593073,0.4117647058823529,0.4117647058823529,0.4117647058823529,,,high
uplift_rule_level × new_manager_type,,external,10,-0.18981505450790692,0.044495293130514535,0.2935910552111811,0.5,0.4,0.4,,,low
uplift_rule_level × new_manager_type,,external,2,-0.2749286990895261,-0.2749286990895261,-0.11976738518670005,0.5,0.5,0.5,,,high
uplift_rule_level × new_manager_type,,returning,4,-0.4699466743631726,-1.3607724272602604,0.04704740789008599,0.25,0.25,0.5,,,medium
uplift_rule_level × new_manager_type,,external,11,-1.5598502417458049,-2.0837524644392,-1.0586576734599453,0.36363636363636365,0.0,0.5454545454545454,,,very_low
uplift_rule_level × new_manager_type,,returning,2,-1.5932817138663302,-1.5932817138663302,-1.1864446172959384,0.0,0.0,0.5,,,low
uplift_rule_level × new_manager_type,,internal,3,-2.302647204148628,-3.0343149628587573,-1.895810107578236,0.0,0.0,0.6666666666666666,,,very_low
uplift_rule_level × new_manager_type,,caretaker,5,-2.440421610362203,-4.0043076214741635,-2.2308162849827404,0.2,0.2,0.8,,,high
uplift_rule_level × new_manager_type,,returning,1,-8.366893236284307,-8.366893236284307,-7.036620906362932,0.0,0.0,1.0,,,very_low
