event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
PSEUDO_0058,2016,福岡,no_change_control,no_change_control,2016-08-20,after_1_10,1,10,9,1,0.8960187894734233,0.3333333333333333,-0.5626854561400899,8.06416910526081,3.0,-5.0641691052608095,-1.1907649432897236,0.06539403100954377,0.7673035011879593,0.8888888888888888,0.12158538770092954,1.474201396938383,3.111111111111111,-1.6369097141727282,-2.5126192185389487,-0.7612002098065079,-1.5153243264717988,0.2012179496214217,0.292364940609158,0.5064171097694202,0.4444444444444444,25.0
PSEUDO_0058,2016,福岡,no_change_control,no_change_control,2016-08-20,after_4_6,4,6,3,1,1.048089325406181,1.0,-0.04808932540618097,3.144267976218543,3.0,-0.14426797621854293,-1.8992993636281377,1.8031207128157758,0.7863532745384806,1.0,0.21364672546151942,1.177614524967816,3.0,-1.822385475032184,-4.499946221462117,0.8551752713977487,-1.6087387495706649,0.23936310846872697,0.33000000000000007,0.4306368915312729,0.3333333333333333,25.0
PSEUDO_0058,2016,福岡,no_change_control,no_change_control,2016-08-20,after_7_10,7,10,3,1,0.8481294720369088,0.0,-0.8481294720369088,2.5443884161107264,0.0,-2.5443884161107264,-1.3783382679654292,-0.31792067610838837,0.857766665878375,0.6666666666666666,-0.19109999921170848,1.707229182176749,3.3333333333333335,-1.6261041511565846,-2.749739010854916,-0.5024692914582529,-1.817204150368293,0.1927033739143175,0.27001935029395624,0.5372772757917262,0.6666666666666666,25.0
PSEUDO_0059,2017,新潟,no_change_control,no_change_control,2017-08-13,after_1_3,1,3,3,1,0.7941430939996291,0.3333333333333333,-0.4608097606662958,2.3824292819988875,1.0,-1.3824292819988875,-1.3753251511765812,0.4537056298439895,0.8122053076646614,0.6666666666666666,-0.14553864099799466,1.7220886892365659,1.3333333333333333,0.3887553559032324,-0.446896658908985,1.2244073707154497,0.24321671490523777,0.1723882834851849,0.27697824354407447,0.5506334729707406,0.3333333333333333,21.0
PSEUDO_0059,2017,新潟,no_change_control,no_change_control,2017-08-13,after_1_5,1,5,5,1,0.6117652679996395,0.4,-0.2117652679996395,3.0588263399981974,2.0,-1.0588263399981974,-0.8287594211691943,0.4052288851699154,0.7009729991223235,0.8,0.09902700087767644,2.095132798571491,1.6,0.49513279857149106,-0.547842207061074,1.5381078042040561,0.5941597994491674,0.12780583051104383,0.22834777646650797,0.6438463930224481,0.6,21.0
PSEUDO_0059,2017,新潟,no_change_control,no_change_control,2017-08-13,after_1_10,1,10,5,1,0.6117652679996395,0.4,-0.2117652679996395,3.0588263399981974,2.0,-1.0588263399981974,-0.8287594211691943,0.4052288851699154,0.7009729991223235,0.8,0.09902700087767644,2.095132798571491,1.6,0.49513279857149106,-0.547842207061074,1.5381078042040561,0.5941597994491674,0.12780583051104383,0.22834777646650797,0.6438463930224481,0.6,21.0
PSEUDO_0059,2017,新潟,no_change_control,no_change_control,2017-08-13,after_4_6,4,6,2,1,0.33819852899965497,0.5,0.161801471000345,0.6763970579993099,1.0,0.32360294200069,-0.4740420779488679,0.7976450199495579,0.534124536308817,1.0,0.46587546369118304,2.654698962573879,2.0,0.654698962573879,-2.281285565443441,3.590683490591199,1.1205744262650619,0.06093215104983225,0.15540207585015822,0.7836657731000096,1.0,21.0
PSEUDO_0060,2017,新潟,no_change_control,no_change_control,2017-09-23,after_1_3,1,3,3,1,0.6312542548875327,1.3333333333333333,0.7020790784458005,1.8937627646625983,4.0,2.1062372353374017,-1.091533547829588,2.495691704721189,0.6168158129555411,1.0,0.38318418704445883,1.7454302098269483,1.3333333333333333,0.412096876493615,-1.0807500391138738,1.9049437921011039,0.7952810635380739,0.11948226662836485,0.27280745500243814,0.607710278369197,0.3333333333333333,26.0
PSEUDO_0060,2017,新潟,no_change_control,no_change_control,2017-09-23,after_1_5,1,5,5,1,0.6825577200403331,1.6,0.917442279959667,3.4127886002016656,8.0,4.587211399798335,-0.23239553244423183,2.067280092363566,0.655724433750974,1.2,0.544275566249026,1.6963988881350691,1.2,0.49639888813506905,-0.4270748948841213,1.4198726711542595,1.0406744543840951,0.1343638962575283,0.2794660312677482,0.5861700724747235,0.4,26.0
PSEUDO_0060,2017,新潟,no_change_control,no_change_control,2017-09-23,after_1_10,1,10,8,1,0.7752757936055195,2.125,1.3497242063944805,6.202206348844156,17.0,10.797793651155844,0.5279455552424858,2.1715028575464754,0.7417376397421576,1.375,0.6332623602578424,1.6776621240820382,1.0,0.6776621240820383,-0.15994193601816054,1.515266184182237,1.3109244843398808,0.16626189238057104,0.2764901164638064,0.5572479911556225,0.5,26.0
