season,league,league_level,team,team_std,stat_key,stat_label,stat_category,higher_is_better,rank,value,source_url,scraped_at
2019,j1,1,横浜Ｆ・マリノス,横浜FM,shots_against,被シュート総数,defense,False,16,362.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,サンフレッチェ広島,広島,shots_against,被シュート総数,defense,False,17,345.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,川崎フロンターレ,川崎F,shots_against,被シュート総数,defense,False,18,318.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot/,2026-06-18T18:40:33
2019,j1,1,ガンバ大阪,G大阪,shots_on_target_against,被枠内シュート総数,defense,False,1,179.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,清水エスパルス,清水,shots_on_target_against,被枠内シュート総数,defense,False,2,176.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,サガン鳥栖,鳥栖,shots_on_target_against,被枠内シュート総数,defense,False,3,174.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ヴィッセル神戸,神戸,shots_on_target_against,被枠内シュート総数,defense,False,4,169.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,湘南ベルマーレ,湘南,shots_on_target_against,被枠内シュート総数,defense,False,5,168.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,浦和レッズ,浦和,shots_on_target_against,被枠内シュート総数,defense,False,6,167.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,北海道コンサドーレ札幌,札幌,shots_on_target_against,被枠内シュート総数,defense,False,7,163.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ベガルタ仙台,仙台,shots_on_target_against,被枠内シュート総数,defense,False,8,147.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,大分トリニータ,大分,shots_on_target_against,被枠内シュート総数,defense,False,9,146.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,名古屋グランパス,名古屋,shots_on_target_against,被枠内シュート総数,defense,False,10,141.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,ジュビロ磐田,磐田,shots_on_target_against,被枠内シュート総数,defense,False,11,139.0,https://www.jleague.jp/stats/j1/club/2019/suffer_shoot_on_target/,2026-06-18T18:40:33
